name,state,rank,branch
Indian Institute of Technology Madras,Tamil Nadu,1,Engineering
Indian Institute of Technology Delhi,Delhi,2,Engineering
Indian Institute of Technology Bombay,Maharashtra,3,Engineering
Indian Institute of Technology Kanpur,Uttar Pradesh,4,Engineering
Indian Institute of Technology Kharagpur,West Bengal,5,Engineering
Indian Institute of Technology Roorkee,Uttarakhand,6,Engineering
Indian Institute of Technology Guwahati,Assam,7,Engineering
Indian Institute of Technology Hyderabad,Telangana,8,Engineering
National Institute of Technology Tiruchirappalli,Tamil Nadu,9,Engineering
Indian Institute of Technology Indore,Madhya Pradesh,10,Engineering
Indian Institute of Technology  BHU  Varanasi,Uttar Pradesh,11,Engineering
Indian Institute of Technology  Indian School of Mines,Jharkhand,12,Engineering
National Institute of Technology Karnataka,Karnataka,13,Engineering
Anna University,Tamil Nadu,14,Engineering
Vellore Institute of Technology,Tamil Nadu,15,Engineering
National Institute of Technology Rourkela,Odisha,16,Engineering
Jadavpur University,West Bengal,17,Engineering
Institute of Chemical Technology,Maharashtra,18,Engineering
National Institute of Technology Warangal,Telangana,19,Engineering
Amrita School of Engineering,Kerala,20,Engineering
Indian Institute of Engineering Science and Technology,West Bengal,21,Engineering
Indian Institute of Technology Bhubaneswar,Odisha,22,Engineering
National Institute of Technology Calicut,Kerala,23,Engineering
Indian Institute of Technology Gandhinagar,Gujarat,24,Engineering
Indian Institute of Technology Ropar,Punjab,25,Engineering
Indian Institute of Technology Patna,Bihar,26,Engineering
Visvesvaraya National Institute of Technology,Maharashtra,27,Engineering
Jamia Millia Islamia,Delhi,28,Engineering
Thapar Institute of Engineering   Technology,Punjab,29,Engineering
Birla Institute of Technology   Science,Rajasthan,30,Engineering
Indian Institute of Technology Mandi,Himachal Pradesh,31,Engineering
Amity University Noida,Uttar Pradesh,32,Engineering
Indian Institute of Space Science and Technology,Kerala,33,Engineering
Siksha  O  Anusandhan,Odisha,34,Engineering
Malaviya National Institute of Technology,Rajasthan,35,Engineering
Delhi Technological University,Delhi,36,Engineering
Shanmugha Arts Science Technology   Research Academy,Tamil Nadu,37,Engineering
Birla Institute of Technology,Jharkhand,38,Engineering
Aligarh Muslim University,Uttar Pradesh,39,Engineering
National Institute of Technology Kurukshetra,Haryana,40,Engineering
S  R  M  Institute of Science and Technology,Tamil Nadu,41,Engineering
Kalinga Institute of Industrial Technology,Odisha,42,Engineering
International Institute of Information Technology Hyderabad,Telangana,43,Engineering
Sri Sivasubramaniya Nadar College of Engineering,Tamil Nadu,44,Engineering
Manipal Institute of Technology,Karnataka,45,Engineering
National Institute of Technology Silchar,Assam,46,Engineering
National Institute of Technology Durgapur,West Bengal,47,Engineering
Motilal Nehru National Institute of Technology,Uttar Pradesh,48,Engineering
PSG College of Technology,Tamil Nadu,49,Engineering
College of Engineering Pune,Maharashtra,50,Engineering
Sathyabama Institute of Science and Technology,Tamil Nadu,51,Engineering
Dr  B  R  Ambedkar National Institute of Technology,Punjab,52,Engineering
Indian Institute of Technology Jodhpur,Rajasthan,53,Engineering
Sardar Vallabhbhai National Institute of Technology,Gujarat,54,Engineering
Visvesvaraya Technological University,Karnataka,55,Engineering
Indraprastha Institute of Information Technology Delhi,Delhi,56,Engineering
Jawaharlal Nehru Technological University,Telangana,57,Engineering
Koneru Lakshmaiah Education Foundation University,Andhra Pradesh,58,Engineering
M  S  Ramaiah Institute of Technology,Karnataka,59,Engineering
Kalasalingam Academy of Research and Higher Education,Tamil Nadu,60,Engineering
National Institute of Technology Meghalaya,Meghalaya,61,Engineering
International Institute of Information Technology Bangalore,Karnataka,62,Engineering
Defence Institute of Advanced Technology,Maharashtra,63,Engineering
